"2023-03-01 12:50:35 INFO  c.i.InventoryMicroserviceApplication - Starting InventoryMicroserviceApplication using Java 19.0.1 with PID 10252 (E:\Microservices-projects\Microservices_project\Inventory-Microservice\target\classes started by RAJA PALAI in E:\Microservices-projects\Microservices_project\Service-Registry-Eureka)
""2023-03-01 12:50:43 WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
""2023-03-01 12:50:43 INFO  o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
""2023-03-01 12:50:43 INFO  c.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
""2023-03-01 12:50:43 INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
""2023-03-01 12:50:43 INFO  c.netflix.discovery.DiscoveryClient - Disable delta property : false
""2023-03-01 12:50:43 INFO  c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
""2023-03-01 12:50:43 INFO  c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
""2023-03-01 12:50:43 INFO  c.netflix.discovery.DiscoveryClient - Application is null : false
""2023-03-01 12:50:43 INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
""2023-03-01 12:50:43 INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: true
""2023-03-01 12:50:43 INFO  c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
""2023-03-01 12:50:44 INFO  c.netflix.discovery.DiscoveryClient - The response status is 200
""2023-03-01 12:50:44 INFO  c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
""2023-03-01 12:50:44 INFO  c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
""2023-03-01 12:50:44 INFO  c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1677655244361 with initial instances count: 0
""2023-03-01 12:50:44 INFO  o.s.c.n.e.s.EurekaServiceRegistry - Registering application INVENTORY-SERVICE with eureka with status UP
""2023-03-01 12:50:44 INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1677655244366, current=UP, previous=STARTING]
""2023-03-01 12:50:44 INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_INVENTORY-SERVICE/LAPTOP-S7I1GPA2:INVENTORY-SERVICE:9002: registering service...
""2023-03-01 12:50:44 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 9002 (http) with context path ''
""2023-03-01 12:50:44 INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 9002
""2023-03-01 12:50:44 INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_INVENTORY-SERVICE/LAPTOP-S7I1GPA2:INVENTORY-SERVICE:9002 - registration status: 204
""2023-03-01 12:50:44 INFO  c.i.InventoryMicroserviceApplication - Started InventoryMicroserviceApplication in 10.169 seconds (process running for 11.345)
""2023-03-01 12:51:14 INFO  c.netflix.discovery.DiscoveryClient - Disable delta property : false
""2023-03-01 12:51:14 INFO  c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
""2023-03-01 12:51:14 INFO  c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
""2023-03-01 12:51:14 INFO  c.netflix.discovery.DiscoveryClient - Application is null : false
""2023-03-01 12:51:14 INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
""2023-03-01 12:51:14 INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: false
""2023-03-01 12:51:14 INFO  c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
""2023-03-01 12:51:14 INFO  c.netflix.discovery.DiscoveryClient - The response status is 200
""2023-03-01 12:53:02 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
"
